Date,Surface temperature average weight,Number of cloud free observations
2007-01-01 00:00:00,241,8
2007-01-02 00:00:00,241,8
2007-01-03 00:00:00,237,14
2007-01-04 00:00:00,237,17
2007-01-05 00:00:00,238,20
2007-01-06 00:00:00,236,28
2007-01-07 00:00:00,236,26
2007-01-08 00:00:00,237,31
2007-01-09 00:00:00,237,31
2007-01-10 00:00:00,238,25
2007-01-11 00:00:00,240,27
2007-01-12 00:00:00,241,32
2007-01-13 00:00:00,244,28
2007-01-14 00:00:00,244,31
2007-01-15 00:00:00,244,26
2007-01-16 00:00:00,244,26
2007-01-17 00:00:00,244,26
2007-01-18 00:00:00,243,21
2007-01-19 00:00:00,243,12
2007-01-20 00:00:00,242,9
2007-01-21 00:00:00,247,9
2007-01-22 00:00:00,247,9
2007-01-23 00:00:00,249,12
2007-01-24 00:00:00,249,13
2007-01-25 00:00:00,249,13
2007-01-26 00:00:00,250,16
2007-01-27 00:00:00,251,25
2007-01-28 00:00:00,253,21
2007-01-29 00:00:00,251,26
2007-01-30 00:00:00,251,23
2007-01-31 00:00:00,250,27
2007-02-01 00:00:00,248,33
2007-02-02 00:00:00,246,39
2007-02-03 00:00:00,243,38
2007-02-04 00:00:00,242,47
2007-02-05 00:00:00,241,51
2007-02-06 00:00:00,241,60
2007-02-07 00:00:00,240,63
2007-02-08 00:00:00,240,59
2007-02-09 00:00:00,240,50
2007-02-10 00:00:00,239,47
2007-02-11 00:00:00,239,39
2007-02-12 00:00:00,239,36
2007-02-13 00:00:00,238,29
2007-02-14 00:00:00,237,24
2007-02-15 00:00:00,236,24
2007-02-16 00:00:00,236,26
2007-02-17 00:00:00,235,24
2007-02-18 00:00:00,234,24
2007-02-19 00:00:00,233,21
2007-02-20 00:00:00,233,20
2007-02-21 00:00:00,234,18
2007-02-22 00:00:00,233,17
2007-02-23 00:00:00,234,17
2007-02-24 00:00:00,235,17
2007-02-25 00:00:00,237,15
2007-02-26 00:00:00,238,14
2007-02-27 00:00:00,238,16
2007-02-28 00:00:00,239,18
2007-03-01 00:00:00,239,18
2007-03-02 00:00:00,240,16
2007-03-03 00:00:00,241,13
2007-03-04 00:00:00,240,15
2007-03-05 00:00:00,239,18
2007-03-06 00:00:00,240,15
2007-03-07 00:00:00,239,14
2007-03-08 00:00:00,239,20
2007-03-09 00:00:00,239,27
2007-03-10 00:00:00,239,28
2007-03-11 00:00:00,240,25
2007-03-12 00:00:00,241,23
2007-03-13 00:00:00,242,28
2007-03-14 00:00:00,242,34
2007-03-15 00:00:00,243,32
2007-03-16 00:00:00,245,26
2007-03-17 00:00:00,244,27
2007-03-18 00:00:00,244,27
2007-03-19 00:00:00,243,27
2007-03-20 00:00:00,243,27
2007-03-21 00:00:00,244,26
2007-03-22 00:00:00,246,26
2007-03-23 00:00:00,247,31
2007-03-24 00:00:00,248,32
2007-03-25 00:00:00,249,32
2007-03-26 00:00:00,252,36
2007-03-27 00:00:00,255,42
2007-03-28 00:00:00,256,44
2007-03-29 00:00:00,256,43
2007-03-30 00:00:00,258,45
2007-03-31 00:00:00,259,49
2007-04-01 00:00:00,259,51
2007-04-02 00:00:00,258,47
2007-04-03 00:00:00,259,39
2007-04-04 00:00:00,260,31
2007-04-05 00:00:00,261,28
2007-04-06 00:00:00,261,19
2007-04-07 00:00:00,256,15
2007-04-08 00:00:00,256,12
2007-04-09 00:00:00,257,10
2007-04-10 00:00:00,259,12
2007-04-11 00:00:00,260,15
2007-04-12 00:00:00,261,25
2007-04-13 00:00:00,261,28
2007-04-14 00:00:00,264,33
2007-04-15 00:00:00,265,41
2007-04-16 00:00:00,266,49
2007-04-17 00:00:00,267,51
2007-04-18 00:00:00,267,52
2007-04-19 00:00:00,269,42
2007-04-20 00:00:00,269,41
2007-04-21 00:00:00,268,34
2007-04-22 00:00:00,267,27
2007-04-23 00:00:00,266,19
2007-04-24 00:00:00,264,12
2007-04-25 00:00:00,261,14
2007-04-26 00:00:00,260,22
2007-04-27 00:00:00,260,30
2007-04-28 00:00:00,261,34
2007-04-29 00:00:00,261,33
2007-04-30 00:00:00,261,34
2007-05-01 00:00:00,261,36
2007-05-02 00:00:00,262,31
2007-05-03 00:00:00,263,25
2007-05-04 00:00:00,265,17
2007-05-05 00:00:00,267,11
2007-05-06 00:00:00,267,11
2007-05-07 00:00:00,266,10
2007-05-08 00:00:00,263,16
2007-05-09 00:00:00,263,22
2007-05-10 00:00:00,263,20
2007-05-11 00:00:00,265,26
2007-05-12 00:00:00,267,37
2007-05-13 00:00:00,267,44
2007-05-14 00:00:00,268,52
2007-05-15 00:00:00,270,53
2007-05-16 00:00:00,271,51
2007-05-17 00:00:00,272,57
2007-05-18 00:00:00,272,52
2007-05-19 00:00:00,272,42
2007-05-20 00:00:00,273,35
2007-05-21 00:00:00,273,27
2007-05-22 00:00:00,274,18
2007-05-23 00:00:00,274,13
2007-05-24 00:00:00,272,6
2007-05-25 00:00:00,273,4
2007-05-26 00:00:00,275,4
2007-05-27 00:00:00,276,6
2007-05-28 00:00:00,-999,6
2007-05-29 00:00:00,285,7
2007-05-30 00:00:00,286,8
2007-05-31 00:00:00,286,11
2007-06-01 00:00:00,285,16
2007-06-02 00:00:00,285,21
2007-06-03 00:00:00,285,26
2007-06-04 00:00:00,285,33
2007-06-05 00:00:00,285,32
2007-06-06 00:00:00,285,33
2007-06-07 00:00:00,285,30
2007-06-08 00:00:00,284,24
2007-06-09 00:00:00,285,29
2007-06-10 00:00:00,286,30
2007-06-11 00:00:00,286,32
